2024-11-14 13:29:03.713 Start running                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:635
2024-11-14 13:29:03.713 api version v6.7.2_20230913 10:48:10.4926                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:607
2024-11-14 13:29:04.824 td connected                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:369
2024-11-14 13:29:05.714 md connected                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:290
2024-11-14 13:29:05.750 md login msg: CTP:No Error                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:311
2024-11-14 13:29:05.750 md login success                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:316
2024-11-14 13:29:06.783 authenticate success                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:389
2024-11-14 13:29:12.069 td login success                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:400
2024-11-14 13:29:12.103 settlement info confirm                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:412
2024-11-14 13:29:16.072 subscribe market data res, i2501: CTP:No Error                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:326
2024-11-14 13:30:57.035 in running and in trading, get in trading                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:652
2024-11-14 13:35:57.035 in running and in trading, get in trading                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:652
2024-11-14 13:40:57.035 in running and in trading, get in trading                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:652
2024-11-14 13:45:57.035 in running and in trading, get in trading                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:652
2024-11-14 13:48:21.004 md disconnected                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:293
2024-11-14 13:48:21.004 try to reconnect md                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:295
2024-11-14 13:48:26.997 md disconnected                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:293
2024-11-14 13:48:26.997 try to reconnect md                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:295
2024-11-14 13:48:32.002 md disconnected                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:293
2024-11-14 13:48:32.002 try to reconnect md                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:295
2024-11-14 13:48:35.106 md disconnected                                                                                                                                                        qust-api/src/ctp/ctp_wrapper.rs:293
